loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
7;lbm;collision;25;lbm_struct.h:116-116,lbm_phys.c:51-321;Innermost;50;0.05;;;;;;
9;lbm;propagation;26;lbm_struct.h:116-116,lbm_phys.c:340-350;Innermost;20;0.02;;;;;;
