function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
26;lbm;propagation;lbm_struct.h:116-116,lbm_phys.c:332-354;57.14;0.06;;;;;;"100,0,0,0,0,0,0,0,0,0";
25;lbm;collision;lbm_struct.h:116-116,lbm_phys.c:51-323;9.52;0.01;;;;;;"100,0,0,0,0,0,0,0,0,0";
11;ld-2.31.so;_dl_rtld_di_serinfo;;9.52;0.01;;;;;;"0,0,0,0,100,0,0,0,0,0";
1369;libc-2.31.so;_mcount;;4.76;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
1365;libc-2.31.so;_mcleanup;;4.76;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
400;libmpi.so.40.20.3;ompi_message_finalize;;4.76;0;;;;;;"0,100,0,0,0,0,0,0,0,0";
0;ld-2.31.so;Unknown function;;4.76;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
-1;kernel;unknown_kernel_region;;4.76;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
