function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
54;mca_btl_vader.so;mca_btl_vader_poll_handle_frag;;17.86;0.03;;;;;;"0,100,0,0,0,0,0,0,0,0";
99;mca_pml_ob1.so;mca_pml_ob1_recv_request_progress_match;;10.71;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
105;mca_pml_ob1.so;mca_pml_ob1_recv_req_start;;7.14;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
81;mca_pml_ob1.so;mca_pml_ob1_send;;7.14;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
26;lbm;propagation;lbm_struct.h:116-116,lbm_phys.c:332-354;7.14;0.01;;;;;;"100,0,0,0,0,0,0,0,0,0";
25;lbm;collision;lbm_struct.h:116-116,lbm_phys.c:51-323;7.14;0.01;;;;;;"100,0,0,0,0,0,0,0,0,0";
1905;libc-2.31.so;__nss_database_lookup;;3.57;0.01;;;;;;"0,0,0,0,0,0,0,0,0,100";
1369;libc-2.31.so;_mcount;;3.57;0.01;;;;;;"0,0,0,0,100,0,0,0,0,0";
1365;libc-2.31.so;_mcleanup;;3.57;0.01;;;;;;"0,0,0,0,100,0,0,0,0,0";
810;libmpi.so.40.20.3;MPI_Send;;3.57;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
562;libopen-pal.so.40.20.3;opal_convertor_prepare_for_recv;;3.57;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
234;libopen-pal.so.40.20.3;opal_bitmap_is_clear;;3.57;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
89;mca_pml_ob1.so;mca_pml_ob1_recv_frag_callback_match;;3.57;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
86;mca_pml_ob1.so;mca_pml_ob1_rdma_pipeline_btls;;3.57;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
78;mca_pml_ob1.so;mca_pml_ob1_mrecv;;3.57;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
45;lbm;lbm_comm_ghost_exchange;lbm_struct.h:116-126,lbm_comm.c:160-320;3.57;0.01;;;;;;"100,0,0,0,0,0,0,0,0,0";
29;lbm;setup_init_state_global_poiseuille_profile;lbm_init.c:67-94,lbm_struct.h:116-135;3.57;0.01;;;;;;"100,0,0,0,0,0,0,0,0,0";
11;ld-2.31.so;_dl_rtld_di_serinfo;;3.57;0.01;;;;;;"0,0,0,0,100,0,0,0,0,0";
