function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
54;mca_btl_vader.so;mca_btl_vader_poll_handle_frag;;22.22;0.03;;;;;;"0,100,0,0,0,0,0,0,0,0";
86;mca_pml_ob1.so;mca_pml_ob1_rdma_pipeline_btls;;18.52;0.02;;;;;;"0,100,0,0,0,0,0,0,0,0";
99;mca_pml_ob1.so;mca_pml_ob1_recv_request_progress_match;;11.11;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
1365;libc-2.31.so;_mcleanup;;7.41;0.01;;;;;;"0,0,0,0,100,0,0,0,0,0";
89;mca_pml_ob1.so;mca_pml_ob1_recv_frag_callback_match;;7.41;0.01;;;;;;"0,100,0,0,0,0,0,0,0,0";
26;lbm;propagation;lbm_struct.h:116-116,lbm_phys.c:332-354;7.41;0.01;;;;;;"100,0,0,0,0,0,0,0,0,0";
590;libc-2.31.so;__libc_realloc;;3.7;0;;;;;;"0,0,0,0,0,0,0,0,100,0";
105;mca_pml_ob1.so;mca_pml_ob1_recv_req_start;;3.7;0;;;;;;"0,100,0,0,0,0,0,0,0,0";
76;mca_pml_ob1.so;mca_pml_ob1_recv;;3.7;0;;;;;;"0,100,0,0,0,0,0,0,0,0";
52;mca_pml_ob1.so;.plt.sec@start;;3.7;0;;;;;;"0,100,0,0,0,0,0,0,0,0";
45;lbm;lbm_comm_ghost_exchange;lbm_struct.h:116-126,lbm_comm.c:160-320;3.7;0;;;;;;"100,0,0,0,0,0,0,0,0,0";
11;ld-2.31.so;_dl_rtld_di_serinfo;;3.7;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
-1;kernel;unknown_kernel_region;;3.7;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
